,Technology,Numbers
0,react,23
1,asp.net,18
2,angular,69
3,ruby on rails,0
4,vue,21
5,django,1
6,laravel,16
7,express,6
8,code igniter,3
9,ember,3
10,spring,32
11,flask,1
12,symfony,1
