,Technology,Numbers
0,python,18
1,c,5
2,java,86
3,c++,5
4,c#,58
5,r,0
6,javascript,37
7,php,66
8,go,0
9,swift,4
10,ruby,0
11,scala,0
12,perl,0
13,css,62
14,html,80
15,Typescript,4
16,rust,0
17,kotlin,2
18,bash,0
